Date,AXP
2024-09-06,240.29580688476562
2024-09-09,247.04998779296875
2024-09-10,241.63482666015625
2024-09-11,250.25970458984375
2024-09-12,251.21473693847656
2024-09-13,255.00538635253906
2024-09-16,257.06317138671875
2024-09-17,261.306640625
2024-09-18,258.1363220214844
2024-09-19,264.60498046875
2024-09-20,264.8412780761719
2024-09-23,263.1773681640625
2024-09-24,262.1041564941406
2024-09-25,262.06475830078125
2024-09-26,264.0142517089844
2024-09-27,266.87939453125
2024-09-30,267.0172119140625
2024-10-01,264.4573059082031
2024-10-02,266.7415771484375
2024-10-03,264.44744873046875
2024-10-04,272.42364501953125
2024-10-07,270.2716369628906
2024-10-08,265.65179443359375
2024-10-09,267.9321594238281
2024-10-10,266.99432373046875
2024-10-11,272.6111755371094
2024-10-14,272.966552734375
2024-10-15,273.7464294433594
2024-10-16,278.06024169921875
2024-10-17,282.1075744628906
2024-10-18,273.2331237792969
2024-10-21,267.2608642578125
2024-10-22,268.89947509765625
2024-10-23,267.74456787109375
2024-10-24,266.5106201171875
2024-10-25,263.9143981933594
2024-10-28,267.9814758300781
2024-10-29,266.9548034667969
2024-10-30,270.55792236328125
2024-10-31,266.6092834472656
2024-11-01,269.185791015625
2024-11-04,266.7178955078125
2024-11-05,272.39404296875
2024-11-06,291.36700439453125
2024-11-07,283.13421630859375
2024-11-08,283.9041748046875
2024-11-11,289.2051696777344
2024-11-12,284.802490234375
2024-11-13,283.94366455078125
2024-11-14,284.5951843261719
2024-11-15,283.18353271484375
2024-11-18,281.8706970214844
2024-11-19,281.8805236816406
2024-11-20,284.01275634765625
2024-11-21,289.2348327636719
2024-11-22,297.4281311035156
2024-11-25,301.2878723144531
2024-11-26,301.6432800292969
2024-11-27,300.3402099609375
2024-11-29,300.76470947265625
2024-12-02,298.37579345703125
2024-12-03,298.2276916503906
2024-12-04,298.71142578125
2024-12-05,296.66802978515625
2024-12-06,300.08355712890625
2024-12-09,292.906982421875
2024-12-10,298.2276916503906
2024-12-11,298.45477294921875
2024-12-12,296.44097900390625
2024-12-13,298.2573547363281
2024-12-16,299.6689453125
2024-12-17,297.46759033203125
2024-12-18,284.0818786621094
2024-12-19,289.313720703125
2024-12-20,294.8121643066406
2024-12-23,294.96026611328125
2024-12-24,299.5603332519531
2024-12-26,300.08355712890625
2024-12-27,297.1813049316406
2024-12-30,293.5091247558594
2024-12-31,292.9761047363281
2025-01-02,294.59503173828125
2025-01-03,299.888671875
2025-01-06,298.7013244628906
2025-01-07,298.8398132324219
2025-01-08,299.6611328125
2025-01-10,290.2116394042969
2025-01-13,293.8924560546875
2025-01-14,297.19732666015625
2025-01-15,309.0314025878906
2025-01-16,308.20025634765625
2025-01-17,309.2688293457031
2025-01-21,314.60211181640625
2025-01-22,318.8568420410156
2025-01-23,322.438720703125
2025-01-24,317.9564208984375
2025-01-27,313.0882263183594
2025-01-28,313.70172119140625
2025-01-29,311.9305419921875
2025-01-30,315.5915832519531
2025-01-31,314.10736083984375
2025-02-03,313.1970520019531
2025-02-04,312.5044250488281
2025-02-05,317.15496826171875
2025-02-06,316.7789306640625
2025-02-07,313.4345397949219
2025-02-10,306.9931335449219
2025-02-11,306.31036376953125
2025-02-12,303.1737060546875
2025-02-13,304.26214599609375
2025-02-14,307.764892578125
2025-02-18,309.5558166503906
2025-02-19,306.65667724609375
2025-02-20,300.6604309082031
2025-02-21,292.28955078125
2025-02-24,292.4181823730469
2025-02-25,290.251220703125
2025-02-26,292.9822082519531
2025-02-27,291.1021728515625
2025-02-28,297.791015625
2025-03-03,292.37860107421875
2025-03-04,280.48516845703125
2025-03-05,281.18768310546875
2025-03-06,272.73760986328125
2025-03-07,270.33319091796875
2025-03-10,258.5683898925781
2025-03-11,252.70083618164062
2025-03-12,258.00439453125
2025-03-13,253.72988891601562
2025-03-14,262.8330078125
2025-03-17,261.5961608886719
2025-03-18,259.9536437988281
2025-03-19,267.8001403808594
2025-03-20,267.9782409667969
2025-03-21,267.66162109375
2025-03-24,274.9342346191406
2025-03-25,276.33929443359375
2025-03-26,273.09381103515625
2025-03-27,269.1557312011719
2025-03-28,262.6846008300781
2025-03-31,266.2170104980469
2025-04-01,267.6319885253906
2025-04-02,272.3516845703125
2025-04-03,245.21055603027344
2025-04-04,231.98704528808594
2025-04-07,232.58270263671875
2025-04-08,229.71363830566406
2025-04-09,260.4592590332031
2025-04-10,245.10134887695312
2025-04-11,249.3106231689453
2025-04-14,253.5298309326172
2025-04-15,255.99185180664062
2025-04-16,251.087646484375
2025-04-17,249.48931884765625
2025-04-21,240.75306701660156
2025-04-22,250.59127807617188
2025-04-23,258.25537109375
2025-04-24,265.3833312988281
2025-04-25,262.8915100097656
2025-04-28,263.030517578125
2025-04-29,265.08551025390625
2025-04-30,264.47991943359375
2025-05-01,266.5945129394531
2025-05-02,274.84429931640625
2025-05-05,276.0157165527344
2025-05-06,273.3750305175781
2025-05-07,274.2386779785156
2025-05-08,281.60498046875
2025-05-09,282.4488220214844
2025-05-12,296.7544250488281
2025-05-13,300.10992431640625
2025-05-14,297.92584228515625
2025-05-15,297.37982177734375
2025-05-16,297.5486145019531
2025-05-19,297.1316223144531
2025-05-20,294.0243225097656
2025-05-21,283.9280090332031
2025-05-22,285.0994567871094
2025-05-23,283.1536560058594
2025-05-27,291.63177490234375
2025-05-28,291.2346496582031
2025-05-29,293.2400207519531
2025-05-30,291.919677734375
2025-06-02,293.19036865234375
2025-06-03,295.2354736328125
2025-06-04,293.7860412597656
2025-06-05,293.8158264160156
2025-06-06,300.2786560058594
2025-06-09,299.3752746582031
2025-06-10,297.35003662109375
2025-06-11,296.93310546875
2025-06-12,295.8311462402344
2025-06-13,285.705078125
2025-06-16,292.0884704589844
2025-06-17,290.68865966796875
2025-06-18,294.27252197265625
2025-06-20,296.4267883300781
2025-06-23,297.4592590332031
2025-06-24,306.1458740234375
2025-06-25,306.3543395996094
2025-06-26,309.1638488769531
2025-06-27,314.89202880859375
2025-06-30,316.6690673828125
2025-07-01,320.1933288574219
2025-07-02,323.2510070800781
2025-07-03,326.5752258300781
2025-07-07,321.2008056640625
2025-07-08,315.47802734375
2025-07-09,315.8463134765625
2025-07-10,323.69891357421875
2025-07-11,317.9562683105469
2025-07-14,319.3993835449219
2025-07-15,309.17803955078125
2025-07-16,310.4220886230469
2025-07-17,313.85577392578125
2025-07-18,306.4908447265625
2025-07-21,301.534423828125
2025-07-22,302.6988830566406
2025-07-23,307.1974792480469
2025-07-24,306.7894287109375
2025-07-25,310.1334533691406
2025-07-28,309.2676086425781
2025-07-29,307.0780334472656
2025-07-30,301.97235107421875
2025-07-31,297.89178466796875
2025-08-01,292.8756408691406
2025-08-04,297.1751708984375
2025-08-05,295.23443603515625
2025-08-06,294.1396484375
2025-08-07,293.33349609375
2025-08-08,296.0206604003906
2025-08-11,294.8263854980469
2025-08-12,301.7732849121094
2025-08-13,305.41595458984375
2025-08-14,306.2718811035156
2025-08-15,304.0225830078125
2025-08-18,305.5950927734375
2025-08-19,304.64959716796875
2025-08-20,306.9386901855469
2025-08-21,306.70977783203125
2025-08-22,317.647705078125
2025-08-25,314.3036193847656
