Date,BKNG
2024-09-04,3756.23779296875
2024-09-05,3739.103759765625
2024-09-06,3697.700927734375
2024-09-09,3768.595703125
2024-09-10,3800.23779296875
2024-09-11,3792.9541015625
2024-09-12,3835.794189453125
2024-09-13,3897.126220703125
2024-09-16,3943.117431640625
2024-09-17,4005.975341796875
2024-09-18,3991.97314453125
2024-09-19,3981.280029296875
2024-09-20,4027.36083984375
2024-09-23,4060.132568359375
2024-09-24,4139.88720703125
2024-09-25,4138.0439453125
2024-09-26,4230.4423828125
2024-09-27,4209.791015625
2024-09-30,4174.1357421875
2024-10-01,4064.0078125
2024-10-02,4087.810791015625
2024-10-03,4067.109375
2024-10-04,4149.935546875
2024-10-07,4132.21630859375
2024-10-08,4195.005859375
2024-10-09,4253.29541015625
2024-10-10,4249.548828125
2024-10-11,4246.09033203125
2024-10-14,4258.96337890625
2024-10-15,4268.92236328125
2024-10-16,4298.15625
2024-10-17,4331.3544921875
2024-10-18,4311.58447265625
2024-10-21,4324.3681640625
2024-10-22,4338.30126953125
2024-10-23,4274.115234375
2024-10-24,4299.603515625
2024-10-25,4308.61181640625
2024-10-28,4308.38330078125
2024-10-29,4387.61279296875
2024-10-30,4423.6748046875
2024-10-31,4634.080078125
2024-11-01,4706.28271484375
2024-11-04,4733.3857421875
2024-11-05,4870.65673828125
2024-11-06,4956.08984375
2024-11-07,4876.49365234375
2024-11-08,4898.69189453125
2024-11-11,5019.72021484375
2024-11-12,4977.62353515625
2024-11-13,4942.46337890625
2024-11-14,4926.15185546875
2024-11-15,4930.32373046875
2024-11-18,4972.52978515625
2024-11-19,4932.10791015625
2024-11-20,4971.19189453125
2024-11-21,5163.927734375
2024-11-22,5130.46240234375
2024-11-25,5062.75927734375
2024-11-26,5167.69482421875
2024-11-27,5176.0478515625
2024-11-29,5155.06884765625
2024-12-02,5177.1669921875
2024-12-03,5167.357421875
2024-12-04,5195.8779296875
2024-12-05,5240.25390625
2024-12-06,5261.24755859375
2024-12-09,5111.619140625
2024-12-10,5147.08544921875
2024-12-11,5253.96142578125
2024-12-12,5230.0693359375
2024-12-13,5189.05322265625
2024-12-16,5114.1298828125
2024-12-17,5116.939453125
