Date,FDX
2024-10-07,253.22760009765625
2024-10-08,254.1024932861328
2024-10-09,257.2520446777344
2024-10-10,256.8923645019531
2024-10-11,256.9798278808594
2024-10-14,259.98358154296875
2024-10-15,258.4963073730469
2024-10-16,264.21209716796875
2024-10-17,266.6034851074219
2024-10-18,266.73956298828125
2024-10-21,261.30560302734375
2024-10-22,262.25830078125
2024-10-23,260.56683349609375
2024-10-24,265.2522888183594
2024-10-25,264.5231628417969
2024-10-28,267.76025390625
2024-10-29,267.3616638183594
2024-10-30,266.428466796875
2024-10-31,266.2049560546875
2024-11-01,266.6909484863281
2024-11-04,263.60943603515625
2024-11-05,267.7310791015625
2024-11-06,272.2415466308594
2024-11-07,275.3036193847656
2024-11-08,278.2878723144531
2024-11-11,281.69989013671875
2024-11-12,279.2502746582031
2024-11-13,283.74127197265625
2024-11-14,284.1301574707031
2024-11-15,286.239501953125
2024-11-18,286.9685974121094
2024-11-19,284.8786315917969
2024-11-20,279.989013671875
2024-11-21,286.9200134277344
2024-11-22,291.595703125
2024-11-25,296.63104248046875
2024-11-26,294.521728515625
2024-11-27,294.9202575683594
2024-11-29,294.2203369140625
2024-12-02,288.40728759765625
2024-12-03,274.9536437988281
2024-12-04,275.5174560546875
2024-12-05,271.619384765625
2024-12-06,272.8442077636719
2024-12-09,273.06890869140625
2024-12-10,272.8637390136719
2024-12-11,274.6612243652344
2024-12-12,277.13275146484375
2024-12-13,276.8690185546875
2024-12-16,276.8885192871094
2024-12-17,271.0174255371094
2024-12-18,266.8461608886719
2024-12-19,269.5032653808594
2024-12-20,269.35675048828125
2024-12-23,262.7921142578125
2024-12-24,265.5566711425781
2024-12-26,272.2190246582031
2024-12-27,273.87969970703125
2024-12-30,274.0653076171875
2024-12-31,274.8273010253906
2025-01-02,267.94024658203125
2025-01-03,268.0672607421875
2025-01-06,267.6374206542969
2025-01-07,268.64361572265625
2025-01-08,268.5459289550781
2025-01-10,264.4723205566406
2025-01-13,268.2430725097656
2025-01-14,271.2030334472656
2025-01-15,270.1968688964844
2025-01-16,270.9588317871094
2025-01-17,268.7413024902344
2025-01-21,269.200439453125
2025-01-22,264.17926025390625
2025-01-23,263.7884826660156
2025-01-24,266.97314453125
2025-01-27,275.0226745605469
2025-01-28,272.209228515625
2025-01-29,268.70220947265625
2025-01-30,263.0167541503906
2025-01-31,258.74774169921875
2025-02-03,241.62294006347656
2025-02-04,245.14950561523438
2025-02-05,246.57577514648438
2025-02-06,252.7887420654297
2025-02-07,250.16091918945312
2025-02-10,252.26124572753906
2025-02-11,255.2212371826172
2025-02-12,256.57904052734375
2025-02-13,257.0382080078125
2025-02-14,261.5806884765625
2025-02-18,261.26812744140625
2025-02-19,260.7015380859375
2025-02-20,262.2547912597656
2025-02-21,248.31463623046875
2025-02-24,247.67962646484375
2025-02-25,250.55169677734375
2025-02-26,250.20001220703125
2025-02-27,252.5640869140625
2025-02-28,256.8232727050781
2025-03-03,252.7887420654297
2025-03-04,242.0137176513672
2025-03-05,244.6219940185547
2025-03-06,244.0163116455078
2025-03-07,248.05087280273438
2025-03-10,242.1280517578125
2025-03-11,238.64117431640625
2025-03-12,239.18138122558594
2025-03-13,236.69635009765625
2025-03-14,237.8946533203125
2025-03-17,240.9395751953125
2025-03-18,241.43067932128906
2025-03-19,242.72720336914062
2025-03-20,241.83338928222656
2025-03-21,226.23568725585938
2025-03-24,238.01254272460938
2025-03-25,236.78477478027344
2025-03-26,239.3385467529297
2025-03-27,239.58409118652344
2025-03-28,237.4133758544922
2025-03-31,239.4465789794922
2025-04-01,237.67857360839844
2025-04-02,240.81187438964844
2025-04-03,212.02288818359375
2025-04-04,206.38491821289062
2025-04-07,201.58184814453125
2025-04-08,194.54913330078125
2025-04-09,214.06591796875
2025-04-10,202.7310333251953
2025-04-11,204.07669067382812
2025-04-14,206.70904541015625
2025-04-15,203.66416931152344
2025-04-16,199.9415283203125
2025-04-17,203.86061096191406
2025-04-21,201.4738006591797
2025-04-22,202.8980255126953
2025-04-23,207.28855895996094
2025-04-24,211.8559112548828
2025-04-25,207.79933166503906
2025-04-28,207.7404022216797
2025-04-29,206.11972045898438
2025-04-30,206.59120178222656
2025-05-01,206.32598876953125
2025-05-02,215.8142852783203
2025-05-05,213.1328125
2025-05-06,209.61643981933594
2025-05-07,211.7282257080078
2025-05-08,215.31333923339844
2025-05-09,213.95787048339844
2025-05-12,228.80908203125
2025-05-13,227.0410919189453
2025-05-14,227.67955017089844
2025-05-15,227.00180053710938
2025-05-16,225.43023681640625
2025-05-19,222.1005096435547
2025-05-20,217.2090301513672
2025-05-21,212.95599365234375
2025-05-22,214.9204559326172
2025-05-23,212.75955200195312
2025-05-27,215.85354614257812
2025-05-28,213.28993225097656
2025-05-29,216.34466552734375
2025-05-30,214.2230682373047
2025-06-02,214.01678466796875
2025-06-03,215.8732147216797
2025-06-04,214.9990234375
2025-06-05,212.87741088867188
2025-06-06,215.7062225341797
2025-06-09,218.2305450439453
2025-06-10,223.90780639648438
2025-06-11,220.0181884765625
2025-06-12,221.00039672851562
2025-06-13,220.39144897460938
2025-06-16,222.73895263671875
2025-06-17,218.57432556152344
2025-06-18,219.33062744140625
2025-06-20,222.02191162109375
2025-06-23,226.60885620117188
2025-06-24,226.88565063476562
2025-06-25,219.46153259277344
2025-06-26,218.54217529296875
2025-06-27,226.29254150390625
2025-06-30,224.7108154296875
2025-07-01,231.6505584716797
2025-07-02,236.4055633544922
2025-07-03,238.47164916992188
2025-07-07,232.40185546875
2025-07-08,235.98046875
2025-07-09,233.8056182861328
2025-07-10,236.000244140625
2025-07-11,233.3607635498047
2025-07-14,231.30455017089844
2025-07-15,228.02252197265625
2025-07-16,226.1343536376953
2025-07-17,225.75869750976562
2025-07-18,224.02870178222656
2025-07-21,223.14889526367188
2025-07-22,229.0506134033203
2025-07-23,235.17971801757812
2025-07-24,233.8056182861328
2025-07-25,240.4191131591797
2025-07-28,239.63816833496094
2025-07-29,231.85813903808594
2025-07-30,221.30027770996094
2025-07-31,220.93450927734375
2025-08-01,214.61756896972656
2025-08-04,215.00311279296875
2025-08-05,219.86685180664062
2025-08-06,223.86065673828125
2025-08-07,222.09112548828125
2025-08-08,225.44235229492188
2025-08-11,222.0417022705078
2025-08-12,227.78524780273438
2025-08-13,227.86434936523438
2025-08-14,228.42782592773438
2025-08-15,224.66139221191406
2025-08-18,225.1161346435547
2025-08-19,230.4642791748047
2025-08-20,224.61196899414062
2025-08-21,222.7040252685547
2025-08-22,234.09231567382812
2025-08-25,230.33575439453125
2025-08-26,228.45748901367188
2025-08-27,229.55479431152344
2025-08-28,228.62554931640625
2025-08-29,228.42782592773438
2025-09-02,221.61659240722656
2025-09-03,222.76333618164062
2025-09-04,222.7040252685547
2025-09-05,225.1161346435547
2025-09-08,223.85260009765625
2025-09-09,224.59878540039062
2025-09-10,224.53909301757812
2025-09-11,227.64317321777344
2025-09-12,228.37940979003906
2025-09-15,224.53909301757812
2025-09-16,226.53883361816406
2025-09-17,224.62863159179688
2025-09-18,225.34495544433594
2025-09-19,230.56817626953125
2025-09-22,228.9464874267578
2025-09-23,232.50823974609375
2025-09-24,232.5579833984375
2025-09-25,235.21437072753906
2025-09-26,236.60723876953125
2025-09-29,235.37355041503906
2025-09-30,234.60748291015625
2025-10-01,238.3284149169922
2025-10-02,241.08428955078125
2025-10-03,243.36260986328125
2025-10-06,245.770263671875
2025-10-07,241.09423828125
2025-10-08,238.7064666748047
2025-10-09,235.79141235351562
2025-10-10,223.4844970703125
2025-10-13,228.4788818359375
2025-10-14,233.47329711914062
2025-10-15,234.5975341796875
2025-10-16,235.70187377929688
2025-10-17,236.5873260498047
2025-10-20,238.5870819091797
2025-10-21,241.60162353515625
2025-10-22,238.18911743164062
2025-10-23,236.9554443359375
2025-10-24,239.9202423095703
2025-10-27,246.07867431640625
2025-10-28,248.2774200439453
2025-10-29,248.36695861816406
2025-10-30,247.6605682373047
2025-10-31,252.52565002441406
2025-11-03,251.6998748779297
2025-11-04,250.5955352783203
2025-11-05,254.7940216064453
2025-11-06,257.5399169921875
2025-11-07,260.7534484863281
2025-11-10,252.59527587890625
2025-11-11,266.3547668457031
2025-11-12,267.2999267578125
2025-11-13,265.9766845703125
2025-11-14,266.195556640625
2025-11-17,263.3800048828125
2025-11-18,261.7384033203125
2025-11-19,261.23101806640625
2025-11-20,261.7583312988281
2025-11-21,268.0560302734375
2025-11-24,265.6185302734375
2025-11-25,272.473388671875
2025-11-26,274.4233703613281
2025-11-28,274.2741394042969
2025-12-01,271.9460754394531
2025-12-02,268.9912414550781
2025-12-03,269.0708312988281
2025-12-04,272.6524658203125
2025-12-05,272.8912658691406
2025-12-08,275.2292785644531
2025-12-09,273.7269592285156
2025-12-10,282.8601379394531
2025-12-11,283.3277587890625
2025-12-12,282.8899841308594
2025-12-15,281.2300109863281
2025-12-16,282.4599914550781
2025-12-17,282.2099914550781
2025-12-18,287.1199951171875
2025-12-19,288.7799987792969
2025-12-22,292.7799987792969
2025-12-23,295.2099914550781
2025-12-24,295.8999938964844
2025-12-26,296.3299865722656
2025-12-29,292.8900146484375
2025-12-30,291.05999755859375
2025-12-31,288.8599853515625
